2020-11-15T12:42:24.756;0
2020-11-15T12:42:25.816;2
2020-11-15T12:42:26.823;4
2020-11-15T12:42:27.831;6
2020-11-15T12:42:28.835;8
2020-11-15T12:42:29.843;10
2020-11-15T12:42:30.863;12
2020-11-15T12:42:31.868;14
2020-11-15T12:42:32.875;16
2020-11-15T12:42:33.882;18
2020-11-15T12:42:34.888;20
2020-11-15T12:42:35.895;22
2020-11-15T12:42:36.917;24
2020-11-15T12:42:37.928;26
2020-11-15T12:42:38.948;28
2020-11-15T12:42:39.954;30
2020-11-15T12:42:40.965;32
2020-11-15T12:42:41.969;34
2020-11-15T12:42:42.976;36
2020-11-15T12:42:43.982;38
2020-11-15T12:42:44.986;40
2020-11-15T12:43:15.359;0
2020-11-15T12:43:37.089;2
2020-11-15T12:43:46.922;4
2020-11-15T12:43:47.928;6
2020-11-15T12:43:48.930;8
2020-11-15T12:43:49.931;10
2020-11-15T12:43:50.933;12
2020-11-15T12:43:51.935;14
2020-11-15T12:43:52.936;16
2020-11-15T12:43:53.938;18
2020-11-15T12:43:54.940;20
2020-11-15T12:43:55.943;22
2020-11-15T12:43:56.945;24
2020-11-15T12:43:57.946;26
2020-11-15T12:43:58.948;28
2020-11-15T12:43:59.949;30
2020-11-15T12:44:00.950;32
2020-11-15T12:44:01.951;34
2020-11-15T12:44:02.952;36
